	sales_name	gstin	26as_name	tan
1788	mrl tyres limited	09AAACM0923H1ZQ	mrl tyres limited	DELM00365B
1789	m s global	19AAQFM4366F1ZU	m s global	CALM10088B
1790	m sundardas sons	33AAEFM4871H1ZA	m sundardas sons	CHES19165G
1791	mt autocraft	02AABFM5301M6ZJ	mt autocraft	PTLM12432A
1792	mt autocraft	06AABFM5301M1ZG	mt autocraft	PTLM12432A
1793	m tech equipments	05ABLFM1571G1ZB	m tech equipments	MRTM08357G
1794	mukul dyestuff private limited	09AAGCM6249Q1ZM	mukul dyestuff private limited	DELM18572B
1795	multani pharmaceuticals ltd	05AAACM2503K1ZV	multani pharmaceuticals ltd	DELM08629F
1796	multani pharmaceuticals ltd	07AAACM2503K1ZR	multani pharmaceuticals ltd	DELM08629F
1797	multi lighting controls pvt ltd	26AAACM4991R1ZP	multi lighting controls pvt ltd	MUMM24010A
1798	musashi auto parts india pvt ltd	06AADCM1239R1Z5	musashi auto parts india pvt ltd	RTKM02709A
1799	musashi auto parts india pvt ltd	29AADCM1239R1ZX	musashi auto parts india pvt ltd	RTKM02709A
1800	mvm industries	02AASFM2234L1Z7	mvm industries	PTLM14816E
1801	mvm industries	33AASFM2234L1Z2	mvm industries	PTLM14816E
1802	my dear cosmetics pvt ltd	06AADCM4849B1ZO	my dear cosmetics pvt ltd	DELM09395B
1803	mylan laboratories limited	27AADCM3491M1Z1	mylan laboratories limited	HYDM02247A
1804	mylan laboratories limited	36AADCM3491M1Z2	mylan laboratories limited	HYDM02247A
1805	nafees bakers india pvt ltd	23AAFCN4130J1ZQ	nafees bakers india pvt ltd	BPLN04087G
1806	nami lifesciences private limited	36AAFCN3409C1ZU	ami lifescinences private limited	BRDS05539C
1807	napino auto electronics ltd	06AAACN4973G1ZF	napino auto electronics ltd	RTKN00907E
1808	napino auto electronics ltd	08AAACN4973G1ZB	napino auto electronics ltd	RTKN00907E
1809	napo exports privat limited	23AAGCN7274E1ZH	napo exports private limited	BPLN04972C
1810	narinder pal singh	03AYCPS6959E2Z7	narinder pal singh	CALN02119F
1811	nashik insulations pvt ltd	27AABCN1697E1ZF	nashik insulations pvt ltd	NSKN00858E
1812	nasik insulations pvt ltd	27AABCN1697E1ZF	nashik insulations pvt ltd	NSKN00858E
1813	nasss floorings and blinds	32AAJFN8306R1ZR	nasss floorings and blinds	CHNN01918A
1814	natco pharma limited	05AAACN6927A1ZV	natco pharma limited	HYDN00304D
1815	natco pharma limited	18AAACN6927A1ZO	natco pharma limited	HYDN00304D
